,index,prediction
567,567,<=50K
568,568,<=50K
569,569,<=50K
570,570,<=50K
571,571,<=50K
572,572,<=50K
573,573,<=50K
574,574,<=50K
575,575,<=50K
576,576,<=50K
577,577,<=50K
578,578,<=50K
579,579,<=50K
580,580,<=50K
581,581,<=50K
582,582,<=50K
583,583,<=50K
584,584,<=50K
585,585,<=50K
586,586,>50K
587,587,<=50K
588,588,<=50K
589,589,<=50K
590,590,<=50K
591,591,>50K
592,592,<=50K
593,593,<=50K
594,594,<=50K
595,595,<=50K
596,596,<=50K
597,597,<=50K
598,598,<=50K
599,599,<=50K
600,600,<=50K
601,601,<=50K
602,602,<=50K
603,603,<=50K
604,604,>50K
605,605,<=50K
606,606,<=50K
607,607,>50K
608,608,>50K
609,609,<=50K
610,610,<=50K
611,611,>50K
612,612,<=50K
613,613,<=50K
614,614,<=50K
615,615,<=50K
616,616,<=50K
617,617,>50K
618,618,<=50K
619,619,<=50K
620,620,<=50K
621,621,<=50K
622,622,>50K
623,623,<=50K
624,624,<=50K
625,625,<=50K
626,626,<=50K
627,627,<=50K
628,628,<=50K
629,629,<=50K
630,630,<=50K
631,631,<=50K
632,632,<=50K
633,633,<=50K
634,634,<=50K
635,635,<=50K
636,636,<=50K
637,637,<=50K
638,638,<=50K
639,639,<=50K
640,640,<=50K
641,641,<=50K
642,642,>50K
643,643,<=50K
644,644,<=50K
645,645,<=50K
646,646,<=50K
647,647,<=50K
648,648,<=50K
649,649,<=50K
650,650,<=50K
651,651,<=50K
652,652,<=50K
653,653,<=50K
654,654,<=50K
655,655,<=50K
656,656,<=50K
657,657,<=50K
658,658,<=50K
659,659,>50K
660,660,>50K
661,661,<=50K
662,662,<=50K
663,663,<=50K
664,664,<=50K
665,665,<=50K
666,666,<=50K
667,667,<=50K
668,668,<=50K
669,669,<=50K
670,670,<=50K
671,671,<=50K
672,672,<=50K
673,673,<=50K
674,674,<=50K
675,675,>50K
676,676,<=50K
677,677,<=50K
678,678,>50K
679,679,<=50K
680,680,<=50K
681,681,<=50K
682,682,<=50K
683,683,<=50K
684,684,<=50K
685,685,>50K
686,686,<=50K
687,687,<=50K
688,688,<=50K
689,689,<=50K
690,690,<=50K
691,691,<=50K
692,692,<=50K
693,693,<=50K
694,694,<=50K
695,695,<=50K
696,696,<=50K
697,697,<=50K
698,698,<=50K
699,699,<=50K
700,700,<=50K
701,701,<=50K
702,702,<=50K
703,703,>50K
704,704,<=50K
705,705,<=50K
706,706,<=50K
707,707,>50K
708,708,<=50K
709,709,<=50K
710,710,<=50K
711,711,<=50K
712,712,<=50K
713,713,<=50K
714,714,<=50K
715,715,<=50K
716,716,<=50K
717,717,<=50K
718,718,<=50K
719,719,<=50K
720,720,<=50K
721,721,<=50K
722,722,<=50K
723,723,<=50K
724,724,<=50K
725,725,>50K
726,726,<=50K
727,727,<=50K
728,728,<=50K
729,729,<=50K
730,730,<=50K
731,731,<=50K
732,732,<=50K
733,733,<=50K
734,734,<=50K
735,735,<=50K
736,736,>50K
737,737,<=50K
738,738,<=50K
739,739,<=50K
740,740,<=50K
741,741,<=50K
742,742,>50K
743,743,<=50K
744,744,>50K
745,745,<=50K
746,746,<=50K
747,747,<=50K
748,748,<=50K
749,749,<=50K
750,750,<=50K
751,751,<=50K
752,752,<=50K
753,753,>50K
754,754,>50K
755,755,<=50K
756,756,<=50K
757,757,<=50K
758,758,<=50K
759,759,<=50K
760,760,<=50K
761,761,<=50K
762,762,>50K
763,763,>50K
764,764,<=50K
765,765,<=50K
766,766,<=50K
767,767,<=50K
768,768,<=50K
769,769,<=50K
770,770,<=50K
771,771,>50K
772,772,>50K
773,773,<=50K
774,774,<=50K
775,775,<=50K
776,776,<=50K
777,777,<=50K
778,778,<=50K
779,779,<=50K
780,780,<=50K
781,781,<=50K
782,782,>50K
783,783,>50K
784,784,<=50K
785,785,<=50K
786,786,<=50K
787,787,<=50K
788,788,>50K
789,789,<=50K
790,790,<=50K
791,791,<=50K
792,792,<=50K
793,793,<=50K
794,794,<=50K
795,795,<=50K
796,796,<=50K
797,797,<=50K
798,798,<=50K
799,799,<=50K
800,800,<=50K
801,801,<=50K
802,802,<=50K
803,803,<=50K
804,804,<=50K
805,805,<=50K
806,806,<=50K
807,807,<=50K
808,808,<=50K
809,809,<=50K
810,810,<=50K
811,811,<=50K
812,812,<=50K
813,813,<=50K
814,814,<=50K
815,815,<=50K
816,816,<=50K
817,817,<=50K
818,818,<=50K
819,819,<=50K
820,820,<=50K
821,821,<=50K
822,822,<=50K
823,823,<=50K
824,824,<=50K
825,825,<=50K
826,826,<=50K
827,827,>50K
828,828,<=50K
829,829,<=50K
830,830,<=50K
831,831,<=50K
832,832,<=50K
833,833,>50K
834,834,<=50K
835,835,<=50K
836,836,<=50K
837,837,<=50K
838,838,<=50K
839,839,<=50K
840,840,<=50K
841,841,<=50K
842,842,<=50K
843,843,<=50K
844,844,<=50K
845,845,<=50K
846,846,<=50K
847,847,<=50K
848,848,<=50K
849,849,>50K
850,850,<=50K
851,851,>50K
852,852,<=50K
853,853,<=50K
854,854,<=50K
855,855,<=50K
856,856,<=50K
857,857,<=50K
858,858,<=50K
859,859,<=50K
860,860,<=50K
861,861,<=50K
862,862,<=50K
863,863,<=50K
864,864,<=50K
865,865,<=50K
866,866,<=50K
867,867,<=50K
868,868,<=50K
869,869,<=50K
870,870,>50K
871,871,<=50K
872,872,<=50K
873,873,<=50K
874,874,<=50K
875,875,<=50K
876,876,<=50K
877,877,<=50K
878,878,<=50K
879,879,<=50K
880,880,<=50K
881,881,<=50K
882,882,>50K
883,883,<=50K
884,884,<=50K
885,885,<=50K
886,886,<=50K
887,887,<=50K
888,888,<=50K
889,889,<=50K
890,890,<=50K
891,891,<=50K
892,892,<=50K
893,893,<=50K
894,894,>50K
895,895,>50K
896,896,<=50K
897,897,<=50K
898,898,<=50K
899,899,<=50K
900,900,>50K
901,901,<=50K
902,902,<=50K
903,903,<=50K
904,904,<=50K
905,905,<=50K
906,906,<=50K
907,907,<=50K
908,908,<=50K
909,909,<=50K
910,910,<=50K
911,911,<=50K
912,912,<=50K
913,913,<=50K
914,914,<=50K
915,915,<=50K
916,916,<=50K
917,917,<=50K
918,918,>50K
919,919,<=50K
920,920,>50K
921,921,<=50K
922,922,<=50K
923,923,<=50K
924,924,>50K
925,925,<=50K
926,926,<=50K
927,927,<=50K
928,928,<=50K
929,929,<=50K
930,930,<=50K
931,931,>50K
932,932,<=50K
933,933,>50K
934,934,<=50K
935,935,>50K
936,936,<=50K
937,937,<=50K
938,938,<=50K
939,939,<=50K
940,940,<=50K
941,941,<=50K
942,942,<=50K
943,943,<=50K
944,944,<=50K
945,945,<=50K
946,946,<=50K
947,947,<=50K
948,948,<=50K
949,949,<=50K
950,950,<=50K
951,951,<=50K
952,952,<=50K
953,953,<=50K
954,954,<=50K
955,955,<=50K
956,956,<=50K
957,957,<=50K
958,958,<=50K
959,959,<=50K
960,960,<=50K
961,961,<=50K
962,962,<=50K
963,963,<=50K
964,964,<=50K
965,965,>50K
966,966,>50K
967,967,<=50K
968,968,<=50K
969,969,<=50K
970,970,<=50K
971,971,<=50K
972,972,<=50K
973,973,<=50K
974,974,<=50K
975,975,<=50K
976,976,<=50K
977,977,<=50K
978,978,<=50K
979,979,<=50K
980,980,<=50K
981,981,<=50K
982,982,>50K
983,983,<=50K
984,984,<=50K
985,985,<=50K
986,986,<=50K
987,987,<=50K
988,988,<=50K
989,989,<=50K
990,990,>50K
991,991,<=50K
992,992,<=50K
993,993,<=50K
994,994,<=50K
995,995,<=50K
996,996,>50K
997,997,>50K
998,998,<=50K
999,999,<=50K
1000,1000,<=50K
1001,1001,<=50K
1002,1002,<=50K
1003,1003,<=50K
1004,1004,<=50K
1005,1005,<=50K
1006,1006,<=50K
1007,1007,<=50K
1008,1008,<=50K
1009,1009,<=50K
1010,1010,<=50K
1011,1011,<=50K
1012,1012,<=50K
1013,1013,<=50K
1014,1014,>50K
1015,1015,<=50K
1016,1016,<=50K
1017,1017,<=50K
1018,1018,<=50K
1019,1019,<=50K
1020,1020,<=50K
1021,1021,<=50K
1022,1022,<=50K
1023,1023,<=50K
1024,1024,<=50K
1025,1025,<=50K
1026,1026,<=50K
1027,1027,<=50K
1028,1028,<=50K
1029,1029,<=50K
1030,1030,<=50K
1031,1031,<=50K
1032,1032,<=50K
1033,1033,>50K
1034,1034,<=50K
1035,1035,<=50K
1036,1036,<=50K
1037,1037,<=50K
1038,1038,<=50K
1039,1039,<=50K
1040,1040,<=50K
1041,1041,<=50K
1042,1042,<=50K
1043,1043,<=50K
1044,1044,<=50K
1045,1045,<=50K
1046,1046,<=50K
1047,1047,<=50K
1048,1048,<=50K
1049,1049,<=50K
1050,1050,<=50K
1051,1051,<=50K
1052,1052,<=50K
1053,1053,<=50K
1054,1054,<=50K
1055,1055,>50K
1056,1056,<=50K
1057,1057,<=50K
1058,1058,<=50K
1059,1059,<=50K
1060,1060,<=50K
1061,1061,<=50K
1062,1062,<=50K
1063,1063,<=50K
1064,1064,<=50K
1065,1065,<=50K
1066,1066,<=50K
1067,1067,<=50K
1068,1068,<=50K
1069,1069,<=50K
1070,1070,<=50K
1071,1071,<=50K
1072,1072,<=50K
1073,1073,<=50K
1074,1074,<=50K
1075,1075,<=50K
1076,1076,<=50K
1077,1077,<=50K
1078,1078,<=50K
1079,1079,<=50K
1080,1080,<=50K
1081,1081,<=50K
1082,1082,<=50K
1083,1083,<=50K
1084,1084,<=50K
1085,1085,<=50K
1086,1086,<=50K
1087,1087,<=50K
1088,1088,<=50K
1089,1089,<=50K
1090,1090,<=50K
1091,1091,<=50K
1092,1092,<=50K
1093,1093,>50K
1094,1094,<=50K
1095,1095,<=50K
1096,1096,<=50K
1097,1097,<=50K
1098,1098,<=50K
1099,1099,<=50K
1100,1100,<=50K
1101,1101,<=50K
1102,1102,<=50K
1103,1103,<=50K
1104,1104,<=50K
1105,1105,<=50K
1106,1106,<=50K
1107,1107,<=50K
1108,1108,<=50K
1109,1109,<=50K
1110,1110,<=50K
1111,1111,<=50K
1112,1112,<=50K
1113,1113,<=50K
1114,1114,<=50K
1115,1115,<=50K
1116,1116,<=50K
1117,1117,<=50K
1118,1118,>50K
1119,1119,<=50K
1120,1120,<=50K
1121,1121,<=50K
1122,1122,<=50K
1123,1123,<=50K
1124,1124,<=50K
1125,1125,<=50K
1126,1126,<=50K
1127,1127,<=50K
1128,1128,<=50K
1129,1129,>50K
1130,1130,<=50K
1131,1131,<=50K
1132,1132,<=50K
1133,1133,<=50K
1134,1134,<=50K
1135,1135,<=50K
1136,1136,<=50K
1137,1137,<=50K
1138,1138,<=50K
1139,1139,<=50K
1140,1140,<=50K
1141,1141,<=50K
1142,1142,<=50K
1143,1143,<=50K
1144,1144,<=50K
1145,1145,<=50K
1146,1146,<=50K
1147,1147,<=50K
1148,1148,<=50K
1149,1149,<=50K
1150,1150,<=50K
1151,1151,<=50K
1152,1152,<=50K
1153,1153,<=50K
1154,1154,>50K
1155,1155,<=50K
1156,1156,>50K
1157,1157,<=50K
1158,1158,<=50K
1159,1159,>50K
1160,1160,<=50K
1161,1161,>50K
1162,1162,<=50K
1163,1163,<=50K
1164,1164,<=50K
1165,1165,>50K
1166,1166,<=50K
1167,1167,<=50K
1168,1168,<=50K
1169,1169,<=50K
1170,1170,<=50K
1171,1171,<=50K
1172,1172,<=50K
1173,1173,<=50K
1174,1174,<=50K
1175,1175,<=50K
1176,1176,<=50K
1177,1177,<=50K
1178,1178,<=50K
1179,1179,<=50K
1180,1180,<=50K
1181,1181,<=50K
1182,1182,>50K
1183,1183,>50K
1184,1184,<=50K
1185,1185,<=50K
1186,1186,>50K
1187,1187,<=50K
1188,1188,<=50K
1189,1189,<=50K
1190,1190,<=50K
1191,1191,<=50K
1192,1192,<=50K
1193,1193,<=50K
1194,1194,<=50K
1195,1195,>50K
1196,1196,<=50K
1197,1197,<=50K
1198,1198,<=50K
1199,1199,>50K
1200,1200,<=50K
1201,1201,<=50K
1202,1202,<=50K
1203,1203,<=50K
1204,1204,<=50K
1205,1205,>50K
1206,1206,<=50K
1207,1207,<=50K
1208,1208,<=50K
1209,1209,<=50K
1210,1210,<=50K
1211,1211,<=50K
1212,1212,<=50K
1213,1213,<=50K
1214,1214,<=50K
1215,1215,<=50K
1216,1216,<=50K
1217,1217,<=50K
1218,1218,<=50K
1219,1219,<=50K
1220,1220,<=50K
1221,1221,<=50K
1222,1222,<=50K
1223,1223,<=50K
1224,1224,<=50K
1225,1225,<=50K
1226,1226,>50K
1227,1227,<=50K
1228,1228,<=50K
1229,1229,<=50K
1230,1230,<=50K
1231,1231,<=50K
1232,1232,<=50K
1233,1233,<=50K
1234,1234,<=50K
1235,1235,<=50K
1236,1236,<=50K
1237,1237,<=50K
1238,1238,<=50K
1239,1239,<=50K
1240,1240,>50K
1241,1241,<=50K
1242,1242,<=50K
1243,1243,<=50K
1244,1244,<=50K
1245,1245,<=50K
1246,1246,<=50K
1247,1247,<=50K
1248,1248,<=50K
1249,1249,<=50K
1250,1250,>50K
1251,1251,<=50K
1252,1252,<=50K
1253,1253,<=50K
1254,1254,<=50K
1255,1255,<=50K
1256,1256,<=50K
1257,1257,<=50K
1258,1258,<=50K
1259,1259,<=50K
1260,1260,<=50K
1261,1261,<=50K
1262,1262,<=50K
1263,1263,<=50K
1264,1264,<=50K
1265,1265,<=50K
1266,1266,<=50K
1267,1267,<=50K
1268,1268,<=50K
1269,1269,<=50K
1270,1270,<=50K
1271,1271,<=50K
1272,1272,<=50K
1273,1273,>50K
1274,1274,<=50K
1275,1275,<=50K
1276,1276,<=50K
1277,1277,<=50K
1278,1278,<=50K
1279,1279,>50K
1280,1280,<=50K
1281,1281,<=50K
1282,1282,<=50K
1283,1283,<=50K
1284,1284,<=50K
1285,1285,<=50K
1286,1286,<=50K
1287,1287,>50K
1288,1288,<=50K
1289,1289,>50K
1290,1290,<=50K
1291,1291,<=50K
1292,1292,<=50K
1293,1293,<=50K
1294,1294,<=50K
1295,1295,<=50K
1296,1296,<=50K
1297,1297,<=50K
1298,1298,<=50K
1299,1299,<=50K
1300,1300,<=50K
1301,1301,<=50K
1302,1302,<=50K
1303,1303,<=50K
1304,1304,<=50K
1305,1305,<=50K
1306,1306,<=50K
1307,1307,<=50K
1308,1308,<=50K
1309,1309,<=50K
1310,1310,<=50K
1311,1311,<=50K
1312,1312,<=50K
1313,1313,<=50K
1314,1314,<=50K
1315,1315,<=50K
1316,1316,<=50K
1317,1317,<=50K
1318,1318,<=50K
1319,1319,<=50K
1320,1320,<=50K
1321,1321,<=50K
1322,1322,<=50K
1323,1323,>50K
1324,1324,<=50K
1325,1325,<=50K
1326,1326,<=50K
1327,1327,<=50K
1328,1328,<=50K
1329,1329,<=50K
1330,1330,<=50K
1331,1331,<=50K
1332,1332,<=50K
1333,1333,<=50K
1334,1334,<=50K
1335,1335,<=50K
1336,1336,<=50K
1337,1337,<=50K
1338,1338,<=50K
1339,1339,<=50K
1340,1340,<=50K
1341,1341,<=50K
1342,1342,<=50K
1343,1343,<=50K
1344,1344,<=50K
1345,1345,<=50K
1346,1346,>50K
1347,1347,<=50K
1348,1348,<=50K
1349,1349,<=50K
1350,1350,<=50K
1351,1351,<=50K
1352,1352,<=50K
1353,1353,>50K
1354,1354,<=50K
1355,1355,<=50K
1356,1356,>50K
1357,1357,<=50K
1358,1358,<=50K
1359,1359,<=50K
1360,1360,<=50K
1361,1361,<=50K
1362,1362,<=50K
1363,1363,<=50K
1364,1364,<=50K
1365,1365,<=50K
1366,1366,<=50K
1367,1367,<=50K
1368,1368,<=50K
1369,1369,<=50K
1370,1370,<=50K
1371,1371,<=50K
1372,1372,<=50K
1373,1373,<=50K
1374,1374,<=50K
1375,1375,<=50K
1376,1376,<=50K
1377,1377,<=50K
1378,1378,<=50K
1379,1379,<=50K
1380,1380,<=50K
1381,1381,<=50K
1382,1382,<=50K
1383,1383,<=50K
1384,1384,<=50K
1385,1385,>50K
1386,1386,<=50K
1387,1387,<=50K
1388,1388,<=50K
1389,1389,<=50K
1390,1390,<=50K
1391,1391,<=50K
1392,1392,<=50K
1393,1393,<=50K
1394,1394,<=50K
1395,1395,<=50K
1396,1396,<=50K
1397,1397,<=50K
1398,1398,<=50K
1399,1399,<=50K
1400,1400,<=50K
1401,1401,<=50K
1402,1402,<=50K
1403,1403,<=50K
1404,1404,<=50K
1405,1405,<=50K
1406,1406,<=50K
1407,1407,<=50K
1408,1408,<=50K
1409,1409,<=50K
1410,1410,<=50K
1411,1411,<=50K
1412,1412,<=50K
1413,1413,<=50K
1414,1414,<=50K
1415,1415,<=50K
1416,1416,<=50K
1417,1417,<=50K
1418,1418,<=50K
1419,1419,<=50K
1420,1420,<=50K
1421,1421,<=50K
1422,1422,<=50K
1423,1423,<=50K
1424,1424,<=50K
1425,1425,<=50K
1426,1426,<=50K
1427,1427,<=50K
1428,1428,<=50K
1429,1429,<=50K
1430,1430,<=50K
1431,1431,<=50K
1432,1432,<=50K
1433,1433,<=50K
1434,1434,<=50K
1435,1435,<=50K
1436,1436,<=50K
1437,1437,>50K
1438,1438,<=50K
1439,1439,<=50K
1440,1440,<=50K
1441,1441,<=50K
1442,1442,<=50K
1443,1443,>50K
1444,1444,<=50K
1445,1445,<=50K
1446,1446,<=50K
1447,1447,<=50K
1448,1448,<=50K
1449,1449,<=50K
1450,1450,<=50K
1451,1451,<=50K
1452,1452,<=50K
1453,1453,<=50K
1454,1454,<=50K
1455,1455,>50K
1456,1456,<=50K
1457,1457,<=50K
1458,1458,<=50K
1459,1459,<=50K
1460,1460,<=50K
1461,1461,<=50K
1462,1462,<=50K
1463,1463,<=50K
1464,1464,<=50K
1465,1465,>50K
